x,y
294,16745
15771,9547
4554,18206
13841,19398
927,17435
9036,2661
5529,1404
7941,2617
9769,16661
19433,18906
17357,5151
7630,19624
12925,18271
4408,3294
16490,15585
14800,8817
16666,10968
13481,17258
7678,5178
18000,3931
15850,6458
267,4799
2917,2152
13610,4179
12503,1169
14987,18654
14207,6080
5046,11096
19447,3748
4587,17693
12847,4982
4238,19684
11173,18141
19588,8037
7479,7321
15828,1291
2408,218
3202,6972
7273,14195
14289,17729
14881,10197
2019,13430
14336,7959
2807,196
11239,2170
4606,3414
17847,17212
13749,18188
7227,18827
19985,11327
7770,12528
